29   681     27   675    29     699     .      .      32     773     .     .       .      .     .      .       076   1   0   1  0  0 0 0         5    1    0
22   545     .     .     .       .      .      .      24     592     .     .       .      .     .      .       070   1   0   1  0  0 0 0         5     0   1
26   658     .     .     .       .      .      .      25     668     .     .       .      .     .      .       070   1   0   1  0  0 0 0         5     0   1
27   660     .     .     .       .      .      .      31     814     .     .       .      .     .      .       070   1   0   1  0  0 0 0         5     0   1
26   663     .     .     .       .      .      .      29     749     .     .       .      .     .      .       070   1   0   1  0  0 0 0         5     0   1
20   579     .     .     .       .      .      .      22     704     .     .       .      .     .      .       070   1   0   1  0  0 0 0         5     0   1
.    548     .    565    .       .     .      .       .     682     .     .        .      .     .      .       072   1   0   1  1  0 0 0         6    1    1
.   1389     .   1394    .       .     .      .       .     1580     .     .       .      .     .      .      072   1   0   1  1  1 0 0          8    1    0
.    608     .    620    .       .     .      .       .      684     .     666     .      .     .      .      070   1   0   1  0  0 0 0          6    1    1
.    493     .    472    .       .     .      .       .      561     .     557     .      .     .      .      070   1   0   1  0  0 0 0          6    1    1
.    661     .    588    .       .     .      .       .      700     .     602     .      .     .      .      070   1   0   1  0  0 0 0          6    1    1
.   1035     .   1036    .       .     .      .       .     1297     .      .      .     .      .       .     070   1   0   1  0  1 0 0          8    1    0
.    809     .    818    .       .     .      .       .     1157     .      .      .     .      .       .     070   1   0   1  0  1 0 0          8    1    0
.   1153     .   1172    .       .     .      .       .     1368     .      .      .     .      .       .     070   1   0   1  0  1 0 0          8    1    0
.   1211     .   1258    .       .     .      .       .     1501     .      .      .     .      .       .     070   1   0   1  0  1 0 0          8    1    0
21   991.3   .     .     .       .     .      .       25    1227.85  25    1214.56 .     .      .       .     085   1   0   1  0  1 0 0          7    1    0
.    855     .    871    .       .     .      .       .     1008    .      .       .     .      .       .     085   1   0   1  0  1 0 0          8    1    0
.   1115     .   1152    .       .     .      .       .     1274    .      .       .     .      .       .     085   1   0   1  0  1 0 0          8    1    0
.   2819     .     .     .       .     .      .       .     3004    .      .       .     .      .       .     085   1   0   1  0  0 1 0          9    1    0
.   2364     .     .     .       .     .      .       .     2668    .      .       .     .      .       .     085   1   0   1  0  0 1 0          9    1    0
18   699.31  .     .     .       .     .      .      18     946.76  18    968.14   .     .      .       .     083   1   0   1  0  1 0 0          7    1    0
.    1262    .   1303    .       .     .      .      .      1634     .      .      .     .      .       .     086   1   0   1  1  1 0 0          8    1    0
.    2396    .     .     .       .     .      .      .      2848     .      .      .     .      .       .     086   1   0   1  1  0 1 0          9    1    0
.    2884    .     .     .       .     .      .      .      3203     .      .      .     .      .       .     086   1   0   1  1  0 1 0          9    1    0
.    2629    .     .     .       .     .      .      .      2875     .      .      .     .      .       .     086   1   0   1  1  0 1 0          9    1    0
.    3029    .     .     .       .     .      .      .      2893    .      .      .     .      .       .     086   1   0   1  1  0 1 0           9    1    0
.     840    .    803    .       .     .      .      .      1136     .      .      .     .      .       .     080   1   0   1  0  1 0 0         8     1    0
